"time_sk","year","month","month_num","quarter","quarter_name","year_month"
1,2017,January,1,1,Q1,"2017-1"
2,2017,February,2,1,Q1,"2017-2"
3,2017,March,3,1,Q1,"2017-3"
4,2017,April,4,2,Q2,"2017-4"
5,2017,May,5,2,Q2,"2017-5"
6,2017,June,6,2,Q2,"2017-6"
7,2017,July,7,3,Q3,"2017-7"
8,2017,August,8,3,Q3,"2017-8"
9,2017,September,9,3,Q3,"2017-9"
10,2017,October,10,4,Q4,"2017-10"
11,2017,November,11,4,Q4,"2017-11"
12,2017,December,12,4,Q4,"2017-12"
13,2018,January,1,1,Q1,"2018-1"
14,2018,February,2,1,Q1,"2018-2"
15,2018,March,3,1,Q1,"2018-3"
16,2018,April,4,2,Q2,"2018-4"
17,2018,May,5,2,Q2,"2018-5"
18,2018,June,6,2,Q2,"2018-6"
19,2018,July,7,3,Q3,"2018-7"
20,2018,August,8,3,Q3,"2018-8"
21,2018,September,9,3,Q3,"2018-9"
22,2018,October,10,4,Q4,"2018-10"
23,2018,November,11,4,Q4,"2018-11"
24,2018,December,12,4,Q4,"2018-12"
25,2019,January,1,1,Q1,"2019-1"
26,2019,February,2,1,Q1,"2019-2"
27,2019,March,3,1,Q1,"2019-3"
28,2019,April,4,2,Q2,"2019-4"
29,2019,May,5,2,Q2,"2019-5"
30,2019,June,6,2,Q2,"2019-6"
31,2019,July,7,3,Q3,"2019-7"
32,2019,August,8,3,Q3,"2019-8"
33,2019,September,9,3,Q3,"2019-9"
34,2019,October,10,4,Q4,"2019-10"
35,2019,November,11,4,Q4,"2019-11"
36,2019,December,12,4,Q4,"2019-12"
37,2020,January,1,1,Q1,"2020-1"
38,2020,February,2,1,Q1,"2020-2"
39,2020,March,3,1,Q1,"2020-3"
40,2020,April,4,2,Q2,"2020-4"
41,2020,May,5,2,Q2,"2020-5"
42,2020,June,6,2,Q2,"2020-6"
43,2020,July,7,3,Q3,"2020-7"
44,2020,August,8,3,Q3,"2020-8"
45,2020,September,9,3,Q3,"2020-9"
46,2020,October,10,4,Q4,"2020-10"
47,2020,November,11,4,Q4,"2020-11"
48,2020,December,12,4,Q4,"2020-12"
49,2026,January,1,1,Q1,"2026-1"
